,,,"Montréal, Ville [Census subdivision], Quebec",,,,,,"Quebec [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nisga'a",,       0,,       0,,       5,,       0,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,      25,,      10,,      10,,      65,,      30,,      35,
"Mother tongue","      Non-Aboriginal languages",,  558560,,  270870,,  287690,, 1015260,,  495175,,  520090,
"Mother tongue","        Afro-Asiatic languages",,  112440,,   59540,,   52905,,  197535,,  104185,,   93355,
"Mother tongue","          Berber languages",,   13730,,    7305,,    6425,,   20845,,   11125,,    9720,
"Mother tongue","            Kabyle",,    8460,,    4510,,    3945,,   12470,,    6625,,    5840,
"Mother tongue","            Berber languages; n.i.e.",,    5275,,    2795,,    2480,,    8375,,    4500,,    3875,
"Mother tongue","          Cushitic languages",,     680,,     325,,     355,,    1125,,     545,,     580,
"Mother tongue","            Bilen",,      10,,       5,,       5,,      10,,      10,,       5,
"Mother tongue","            Oromo",,       5,,       5,,       0,,      15,,      10,,       5,
"Mother tongue","            Somali",,     645,,     300,,     345,,    1075,,     515,,     560,
"Mother tongue","            Cushitic languages; n.i.e.",,      15,,      10,,       5,,      30,,      20,,      10,
"Mother tongue","          Semitic languages",,   97870,,   51815,,   46050,,  175215,,   92310,,   82900,
"Mother tongue","            Amharic",,     510,,     240,,     270,,     745,,     340,,     405,
"Mother tongue","            Arabic",,   95165,,   50450,,   44715,,  169890,,   89590,,   80300,
"Mother tongue","            Assyrian Neo-Aramaic",,      50,,      25,,      25,,     150,,      80,,      70,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       5,,       5,,      15,,      10,,       5,
"Mother tongue","            Harari",,       5,,       0,,       0,,       0,,       5,,       5,
"Mother tongue","            Hebrew",,    1785,,     925,,     860,,    3885,,    2040,,    1845,
"Mother tongue","            Maltese",,      10,,       5,,       5,,      25,,      10,,      15,
"Mother tongue","            Tigrigna",,     305,,     145,,     160,,     385,,     185,,     205,
"Mother tongue","            Semitic languages; n.i.e.",,      40,,      20,,      20,,     110,,      60,,      50,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,     165,,      90,,      70,,     355,,     200,,     155,
"Mother tongue","        Austro-Asiatic languages",,   23000,,   10805,,   12195,,   36305,,   17030,,   19275,
"Mother tongue","          Khmer (Cambodian)",,    4875,,    2265,,    2600,,    8855,,    4105,,    4750,
"Mother tongue","          Vietnamese",,   18115,,    8530,,    9585,,   27425,,   12920,,   14505,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,      10,,       5,,       5,,      25,,      10,,      15,
"Mother tongue","        Austronesian languages",,   14755,,    5375,,    9380,,   21635,,    7800,,   13835,
"Mother tongue","          Bikol",,      90,,      30,,      65,,     115,,      35,,      80,
"Mother tongue","          Cebuano",,     575,,     200,,     375,,     885,,     270,,     610,
"Mother tongue","          Fijian",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Hiligaynon",,     305,,      90,,     215,,     410,,     125,,     275,
"Mother tongue","          Ilocano",,    1720,,     630,,    1095,,    2060,,     745,,    1315,
"Mother tongue","          Malagasy",,     410,,     185,,     230,,    1250,,     590,,     660,
"Mother tongue","          Malay",,     400,,     165,,     235,,     705,,     265,,     440,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,     145,,      65,,      80,,     205,,      90,,     110,
"Mother tongue","          Pangasinan",,      70,,      30,,      40,,      95,,      40,,      50,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,   10770,,    3875,,    6895,,   15545,,    5480,,   10065,
"Mother tongue","          Waray-Waray",,      40,,       5,,      30,,      50,,      10,,      40,
"Mother tongue","          Austronesian languages; n.i.e.",,     220,,      90,,     125,,     320,,     140,,     180,
"Mother tongue","        Creole languages",,   36160,,   15975,,   20190,,   56990,,   25220,,   31770,
"Mother tongue","          Haitian Creole",,    1300,,     625,,     680,,    2220,,    1055,,    1170,
"Mother tongue","          Creole; n.o.s.",,   34390,,   15105,,   19290,,   53785,,   23675,,   30110,
"Mother tongue","          Creole languages; n.i.e.",,     470,,     245,,     225,,     980,,     490,,     490,
"Mother tongue","        Dravidian languages",,   10445,,    5270,,    5180,,   14865,,    7435,,    7430,
"Mother tongue","          Kannada",,     150,,      80,,      70,,     240,,     130,,     110,
"Mother tongue","          Malayalam",,     250,,     140,,     110,,     440,,     235,,     205,
"Mother tongue","          Tamil",,    9595,,    4765,,    4825,,   13600,,    6715,,    6880,
"Mother tongue","          Telugu",,     450,,     280,,     170,,     570,,     345,,     230,
"Mother tongue","          Dravidian languages; n.i.e.",,       5,,       5,,       5,,      15,,      10,,       5,
"Mother tongue","        Hmong-Mien languages",,      20,,      10,,      10,,      25,,      10,,      15,
"Mother tongue","        Indo-European languages",,  286810,,  138535,,  148280,,  553045,,  269625,,  283420,
"Mother tongue","          Albanian",,    1595,,     815,,     780,,    2795,,    1420,,    1370,
"Mother tongue","          Armenian",,    6330,,    2995,,    3335,,   16430,,    7970,,    8460,
"Mother tongue","          Balto-Slavic languages",,   33090,,   14675,,   18420,,   68155,,   30960,,   37195,
"Mother tongue","            Baltic languages",,     380,,     140,,     245,,     850,,     335,,     515,
"Mother tongue","              Latvian",,     125,,      50,,      70,,     290,,     120,,     175,
"Mother tongue","              Lithuanian",,     260,,      90,,     170,,     555,,     215,,     340,
"Mother tongue","            Slavic languages",,   32710,,   14535,,   18175,,   67310,,   30630,,   36675,
"Mother tongue","              Belarusan",,      40,,      25,,      15,,      80,,      45,,      35,
"Mother tongue","              Bosnian",,     250,,     125,,     130,,    1620,,     805,,     815,
"Mother tongue","              Bulgarian",,    3625,,    1725,,    1905,,    6985,,    3385,,    3600,
"Mother tongue","              Croatian",,     955,,     470,,     485,,    2330,,    1165,,    1170,
"Mother tongue","              Czech",,     610,,     285,,     320,,    1465,,     690,,     775,
"Mother tongue","              Macedonian",,      85,,      40,,      45,,     205,,     105,,      95,
"Mother tongue","              Polish",,    7000,,    3015,,    3985,,   13935,,    6065,,    7865,
"Mother tongue","              Russian",,   14685,,    6435,,    8245,,   28565,,   12715,,   15850,
"Mother tongue","              Serbian",,    1240,,     605,,     635,,    3140,,    1590,,    1545,
"Mother tongue","              Serbo-Croatian",,     415,,     185,,     225,,    1805,,     865,,     940,
"Mother tongue","              Slovak",,     435,,     175,,     260,,    1040,,     455,,     585,
"Mother tongue","              Slovene (Slovenian)",,     310,,     140,,     175,,     755,,     350,,     405,
"Mother tongue","              Ukrainian",,    2995,,    1285,,    1710,,    5210,,    2285,,    2920,
"Mother tongue","              Slavic languages; n.i.e.",,      65,,      30,,      35,,     175,,      90,,      85,
"Mother tongue","          Celtic languages",,      50,,      30,,      25,,     155,,      95,,      60,
"Mother tongue","            Scottish Gaelic",,      10,,      10,,       0,,      20,,      15,,      10,
"Mother tongue","            Welsh",,      15,,       5,,      10,,      40,,      20,,      20,
"Mother tongue","            Celtic languages; n.i.e.",,      30,,      15,,      10,,      90,,      55,,      30,
"Mother tongue","          Germanic languages",,   11495,,    5675,,    5825,,   27540,,   13280,,   14260,
"Mother tongue","            Afrikaans",,      50,,      30,,      25,,     125,,      60,,      65,
"Mother tongue","            Danish",,     145,,      65,,      80,,     395,,     190,,     200,
"Mother tongue","            Dutch",,     770,,     405,,     365,,    2825,,    1395,,    1430,
"Mother tongue","            Frisian",,       5,,       5,,       0,,      10,,      10,,       0,
"Mother tongue","            German",,    3990,,    1845,,    2145,,   13670,,    6340,,    7330,
"Mother tongue","            Icelandic",,      30,,      15,,      20,,      65,,      30,,      35,
"Mother tongue","            Norwegian",,      65,,      35,,      25,,     200,,     100,,     100,
"Mother tongue","            Swedish",,     235,,     105,,     135,,     555,,     255,,     300,
"Mother tongue","            Vlaams (Flemish)",,     105,,      40,,      70,,     540,,     240,,     300,
"Mother tongue","            Yiddish",,    6030,,    3100,,    2935,,    8985,,    4560,,    4420,
"Mother tongue","            Germanic languages; n.i.e.",,      60,,      35,,      30,,     175,,     100,,      75,
"Mother tongue","          Greek",,   16935,,    8310,,    8625,,   38635,,   19435,,   19205,
"Mother tongue","          Indo-Iranian languages",,   44150,,   22955,,   21190,,   76040,,   39205,,   36835,
"Mother tongue","            Indo-Aryan languages",,   29965,,   15825,,   14140,,   45845,,   23875,,   21970,
"Mother tongue","              Bengali",,    9290,,    4740,,    4545,,   10995,,    5620,,    5380,
"Mother tongue","              Gujarati",,    4075,,    2030,,    2040,,    6070,,    2980,,    3090,
"Mother tongue","              Hindi",,    1765,,     985,,     780,,    3030,,    1635,,    1390,
"Mother tongue","              Kashmiri",,      15,,      15,,       0,,      20,,      15,,       5,
"Mother tongue","              Konkani",,      65,,      40,,      25,,     110,,      60,,      55,
"Mother tongue","              Marathi",,     150,,      95,,      55,,     255,,     145,,     110,
"Mother tongue","              Nepali",,     145,,      75,,      70,,    1505,,     740,,     765,
"Mother tongue","              Oriya (Odia)",,      20,,      15,,       5,,      35,,      20,,      15,
"Mother tongue","              Punjabi (Panjabi)",,    7300,,    4110,,    3190,,   12380,,    6720,,    5660,
"Mother tongue","              Sindhi",,     175,,      85,,      90,,     330,,     160,,     165,
"Mother tongue","              Sinhala (Sinhalese)",,     385,,     185,,     205,,     645,,     310,,     330,
"Mother tongue","              Urdu",,    6580,,    3455,,    3125,,   10470,,    5460,,    5010,
"Mother tongue","            Iranian languages",,   13975,,    7005,,    6965,,   29760,,   15105,,   14655,
"Mother tongue","              Kurdish",,     535,,     290,,     250,,     985,,     550,,     430,
"Mother tongue","              Pashto",,     845,,     445,,     400,,    1285,,     680,,     610,
