,,,"Halifax, Regional municipality [Census subdivision], Nova Scotia",,,,,,"Nova Scotia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"First official language spoken","  Neither English nor French",,    2115,,     970,,    1140,,    2585,,    1215,,    1365,
"First official language spoken","Official language minority (number)",17,   10500,,    5200,,    5305,,   29370,,   14300,,   15070,
"First official language spoken","Official language minority (percentage)",17,    2.6,,    2.7,,    2.6,,    3.2,,    3.2,,    3.2,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  399315,,  193615,,  205700,,  912295,,  442470,,  469830,
"Mother tongue","  Single responses",,  394160,,  191080,,  203085,,  904240,,  438550,,  465690,
"Mother tongue","    Official languages",,  363305,,  175400,,  187910,,  859690,,  416245,,  443445,
"Mother tongue","      English",,  353165,,  170405,,  182760,,  830220,,  401980,,  428240,
"Mother tongue","      French",,   10140,,    4990,,    5145,,   29465,,   14265,,   15205,
"Mother tongue","    Non-official languages",,   30855,,   15680,,   15175,,   44550,,   22305,,   22245,
"Mother tongue","      Aboriginal languages",,      75,,      35,,      35,,    4290,,    2020,,    2270,
"Mother tongue","        Algonquian languages",,      60,,      35,,      25,,    4210,,    1985,,    2225,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Cree-Montagnais languages",,       5,,       5,,       0,,      15,,      10,,       5,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Swampy Cree",,       5,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Cree; n.o.s.",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Eastern Algonquian languages",,      55,,      30,,      20,,    4190,,    1975,,    2215,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Mi'kmaq",,      50,,      30,,      25,,    4185,,    1970,,    2215,
"Mother tongue","          Ojibway-Potawatomi languages",,       0,,       0,,       5,,      10,,       5,,       5,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Ojibway",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       5,,       5,,       5,,       0,
"Mother tongue","          Northern Athabaskan languages",,       5,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Dene",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Inuit languages",,      10,,       5,,       5,,      60,,      30,,      35,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Inuktitut",,      10,,       5,,       5,,      55,,      30,,      30,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","      Non-Aboriginal languages",,   30780,,   15645,,   15140,,   40260,,   20285,,   19975,
"Mother tongue","        Afro-Asiatic languages",,    7020,,    3850,,    3170,,    7760,,    4275,,    3480,
"Mother tongue","          Berber languages",,      10,,      10,,       0,,      10,,      10,,       0,
"Mother tongue","            Kabyle",,       0,,       5,,       5,,       5,,       0,,       0,
"Mother tongue","            Berber languages; n.i.e.",,       5,,       5,,       0,,       5,,       5,,       0,
"Mother tongue","          Cushitic languages",,     115,,      60,,      60,,     130,,      65,,      65,
"Mother tongue","            Bilen",,       5,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Oromo",,      55,,      35,,      25,,      60,,      30,,      25,
"Mother tongue","            Somali",,      50,,      20,,      30,,      50,,      20,,      30,
"Mother tongue","            Cushitic languages; n.i.e.",,       5,,       0,,       5,,      15,,       5,,       5,
"Mother tongue","          Semitic languages",,    6895,,    3780,,    3115,,    7615,,    4205,,    3415,
"Mother tongue","            Amharic",,     110,,      45,,      60,,     115,,      50,,      65,
"Mother tongue","            Arabic",,    6430,,    3545,,    2880,,    7110,,    3950,,    3165,
"Mother tongue","            Assyrian Neo-Aramaic",,       5,,       5,,       5,,       5,,       5,,       5,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       5,,       0,,       0,,       5,
"Mother tongue","            Harari",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Hebrew",,     195,,     110,,      90,,     210,,     115,,      95,
"Mother tongue","            Maltese",,       5,,       5,,       0,,      15,,      10,,       5,
"Mother tongue","            Tigrigna",,     145,,      65,,      75,,     140,,      65,,      80,
"Mother tongue","            Semitic languages; n.i.e.",,      10,,       5,,      10,,      10,,       5,,      10,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Austro-Asiatic languages",,     400,,     195,,     205,,     505,,     245,,     260,
"Mother tongue","          Khmer (Cambodian)",,       5,,       0,,       5,,       5,,       5,,       5,
"Mother tongue","          Vietnamese",,     395,,     195,,     205,,     490,,     240,,     250,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Austronesian languages",,    1665,,     725,,     935,,    2235,,     940,,    1300,
"Mother tongue","          Bikol",,       5,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Cebuano",,     105,,      50,,      65,,     150,,      60,,      90,
"Mother tongue","          Fijian",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Hiligaynon",,      15,,      10,,      10,,      25,,      10,,      15,
"Mother tongue","          Ilocano",,      45,,      15,,      35,,      55,,      15,,      40,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","          Malay",,      40,,      15,,      25,,      55,,      25,,      35,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      10,,       5,,       5,,      15,,       5,,       5,
"Mother tongue","          Pangasinan",,       0,,       5,,       0,,       5,,       0,,       0,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    1420,,     625,,     790,,    1905,,     810,,    1090,
"Mother tongue","          Waray-Waray",,       5,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Austronesian languages; n.i.e.",,      15,,       5,,      10,,      20,,      10,,      15,
"Mother tongue","        Creole languages",,      55,,      40,,      15,,      95,,      60,,      35,
"Mother tongue","          Haitian Creole",,       5,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Creole; n.o.s.",,      30,,      25,,      10,,      35,,      20,,      10,
"Mother tongue","          Creole languages; n.i.e.",,      25,,      20,,      10,,      55,,      35,,      20,
"Mother tongue","        Dravidian languages",,     875,,     510,,     360,,    1010,,     595,,     420,
"Mother tongue","          Kannada",,      25,,      15,,      10,,      40,,      20,,      15,
"Mother tongue","          Malayalam",,     310,,     165,,     145,,     365,,     205,,     165,
"Mother tongue","          Tamil",,     260,,     155,,     100,,     315,,     185,,     130,
"Mother tongue","          Telugu",,     270,,     170,,     100,,     285,,     180,,     110,
"Mother tongue","          Dravidian languages; n.i.e.",,       5,,       5,,       5,,      10,,       5,,       5,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Indo-European languages",,   12660,,    6405,,    6255,,   18590,,    9320,,    9270,
"Mother tongue","          Albanian",,     250,,     125,,     125,,     275,,     130,,     140,
"Mother tongue","          Armenian",,      30,,      25,,      10,,      35,,      30,,      10,
"Mother tongue","          Balto-Slavic languages",,    2790,,    1350,,    1440,,    3470,,    1645,,    1830,
"Mother tongue","            Baltic languages",,      55,,      15,,      45,,     100,,      35,,      60,
"Mother tongue","              Latvian",,      25,,      10,,      20,,      50,,      20,,      30,
"Mother tongue","              Lithuanian",,      30,,       5,,      25,,      45,,      15,,      30,
"Mother tongue","            Slavic languages",,    2735,,    1335,,    1395,,    3375,,    1610,,    1765,
"Mother tongue","              Belarusan",,       5,,       5,,       0,,       5,,       5,,       5,
"Mother tongue","              Bosnian",,     115,,      60,,      60,,     120,,      60,,      65,
"Mother tongue","              Bulgarian",,      40,,      20,,      25,,      55,,      25,,      30,
"Mother tongue","              Croatian",,     185,,      90,,      95,,     225,,     105,,     115,
"Mother tongue","              Czech",,     140,,      70,,      70,,     205,,     105,,     100,
"Mother tongue","              Macedonian",,      15,,       5,,       5,,      20,,      10,,      15,
"Mother tongue","              Polish",,     590,,     285,,     305,,     795,,     365,,     435,
"Mother tongue","              Russian",,    1150,,     565,,     590,,    1285,,     615,,     670,
"Mother tongue","              Serbian",,     110,,      50,,      60,,     115,,      60,,      65,
"Mother tongue","              Serbo-Croatian",,      80,,      40,,      40,,      80,,      40,,      40,
"Mother tongue","              Slovak",,      85,,      40,,      45,,     100,,      45,,      55,
"Mother tongue","              Slovene (Slovenian)",,      20,,      10,,      15,,      35,,      15,,      15,
"Mother tongue","              Ukrainian",,     190,,      95,,      95,,     320,,     155,,     170,
"Mother tongue","              Slavic languages; n.i.e.",,       5,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Celtic languages",,      45,,      20,,      25,,     185,,      80,,     100,
"Mother tongue","            Scottish Gaelic",,      25,,      10,,      20,,     145,,      65,,      85,
"Mother tongue","            Welsh",,      15,,      10,,       5,,      30,,      10,,      15,
"Mother tongue","            Celtic languages; n.i.e.",,       5,,       0,,       5,,      10,,       5,,       5,
"Mother tongue","          Germanic languages",,    2070,,     995,,    1080,,    5700,,    2800,,    2900,
"Mother tongue","            Afrikaans",,      80,,      40,,      35,,     120,,      55,,      60,
"Mother tongue","            Danish",,      95,,      60,,      40,,     160,,     105,,      60,
"Mother tongue","            Dutch",,     490,,     235,,     255,,    1620,,     815,,     805,
"Mother tongue","            Frisian",,       5,,       0,,       5,,      35,,      20,,      15,
"Mother tongue","            German",,    1205,,     550,,     645,,    3435,,    1645,,    1790,
"Mother tongue","            Icelandic",,      30,,      20,,      15,,      45,,      20,,      20,
"Mother tongue","            Norwegian",,      70,,      45,,      30,,     110,,      60,,      50,
"Mother tongue","            Swedish",,      60,,      25,,      40,,     110,,      45,,      65,
"Mother tongue","            Vlaams (Flemish)",,      15,,      10,,       5,,      25,,      10,,      10,
"Mother tongue","            Yiddish",,      10,,       5,,       0,,      20,,      10,,       5,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       0,,       5,,      20,,       5,,      15,
"Mother tongue","          Greek",,     660,,     335,,     325,,     760,,     390,,     365,
"Mother tongue","          Indo-Iranian languages",,    4300,,    2350,,    1950,,    4835,,    2650,,    2190,
"Mother tongue","            Indo-Aryan languages",,    2950,,    1645,,    1300,,    3385,,    1895,,    1490,
"Mother tongue","              Bengali",,     440,,     270,,     170,,     475,,     290,,     185,
"Mother tongue","              Gujarati",,     175,,     110,,      60,,     195,,     125,,      70,
"Mother tongue","              Hindi",,     660,,     395,,     265,,     745,,     445,,     300,
"Mother tongue","              Kashmiri",,       5,,       5,,       5,,      10,,       5,,       5,
"Mother tongue","              Konkani",,       5,,       5,,       5,,       5,,       5,,       5,
"Mother tongue","              Marathi",,      60,,      35,,      25,,      70,,      35,,      35,
"Mother tongue","              Nepali",,     525,,     250,,     270,,     530,,     255,,     275,
"Mother tongue","              Oriya (Odia)",,       5,,       5,,       5,,      10,,       5,,       5,
"Mother tongue","              Punjabi (Panjabi)",,     475,,     250,,     220,,     585,,     310,,     270,
"Mother tongue","              Sindhi",,      15,,      10,,       5,,      20,,      10,,       5,
"Mother tongue","              Sinhala (Sinhalese)",,     140,,      70,,      70,,     165,,      85,,      85,
"Mother tongue","              Urdu",,     435,,     245,,     190,,     575,,     330,,     245,
"Mother tongue","            Iranian languages",,    1330,,     690,,     640,,    1425,,     740,,     690,
"Mother tongue","              Kurdish",,     115,,      65,,      50,,     115,,      65,,      50,
"Mother tongue","              Pashto",,      65,,      40,,      30,,      80,,      45,,      35,
"Mother tongue","              Persian (Farsi)",,    1145,,     585,,     565,,    1230,,     630,,     605,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,      20,,      10,,      15,,      25,,      10,,      15,
"Mother tongue","          Italic (Romance) languages",,    2515,,    1205,,    1305,,    3335,,    1605,,    1730,
"Mother tongue","            Catalan",,      10,,       5,,       5,,      10,,       5,,       5,
"Mother tongue","            Italian",,     555,,     285,,     265,,     745,,     400,,     340,
"Mother tongue","            Portuguese",,     385,,     185,,     200,,     520,,     245,,     270,
